	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2117	0021900001	NOP @ TOR	L	2000	2000
2116	0021900002	LAC vs. LAL	W	2000	2000
2113	0021900005	ORL vs. CLE	W	2000	2000
2112	0021900006	BKN vs. MIN	L	2000	2000
2111	0021900012	SAC @ PHX	L	2000	2000
2110	0021900004	DET @ IND	W	2000	2000
2108	0021900009	WAS @ DAL	L	2000	2000
2107	0021900007	MEM @ MIA	L	2000	2000
2106	0021900011	OKC @ UTA	L	2000	2000
2103	0021900003	CHA vs. CHI	W	2000	2000
2102	0021900010	NYK @ SAS	L	2000	2000
2100	0021900008	PHI vs. BOS	W	2000	2000
2098	0021900013	DEN @ POR	W	2000	2000
2091	0021900016	LAC @ GSW	W	2025	2000
2090	0021900014	ATL @ DET	W	2000	2025
2088	0021900015	HOU vs. MIL	L	2000	2000
2085	0021900021	DAL @ NOP	W	2025	1975
2084	0021900018	MIN @ CHA	W	2025	2025
2082	0021900025	UTA @ LAL	L	2025	1975
2081	0021900017	BOS vs. TOR	W	1975	2025
2080	0021900023	PHX @ DEN	L	2025	2025
2078	0021900019	BKN vs. NYK	W	1975	1975
2076	0021900024	SAC vs. POR	L	1975	1975
2075	0021900020	MEM vs. CHI	L	1975	1975
2074	0021900022	WAS @ OKC	W	1975	1975
2067	0021900032	NOP @ HOU	L	1950	1975
2066	0021900026	MIL vs. MIA	L	2025	2025
2065	0021900028	ATL vs. ORL	W	2025	2025
2064	0021900029	BOS @ NYK	W	2000	1950
2063	0021900030	CLE vs. IND	W	1975	1975
2062	0021900031	CHI vs. TOR	L	2000	2000
2061	0021900035	PHX vs. LAC	W	2000	2050
2060	0021900034	UTA vs. SAC	W	2000	1950
2059	0021900033	WAS @ SAS	L	2000	2025
2056	0021900027	PHI @ DET	W	2025	2000
2047	0021900039	MIA @ MIN	L	2050	2050
2046	0021900037	MEM vs. BKN	W	1950	2000
2044	0021900038	DAL vs. POR	L	2050	2000
2043	0021900040	LAL vs. CHA	W	2000	2000
2042	0021900036	OKC vs. GSW	W	1950	1975
2037	0021900042	CHI @ NYK	L	1975	1925
2036	0021900047	GSW @ NOP	W	1950	1925
2035	0021900041	IND @ DET	L	1950	1975
2034	0021900043	PHI @ ATL	W	2050	2050
2033	0021900050	SAC vs. DEN	L	1925	2050
2032	0021900048	POR @ SAS	L	2025	2050
2030	0021900045	OKC @ HOU	L	1975	2000
2029	0021900046	MIL vs. CLE	W	2000	2000
2028	0021900051	LAC vs. CHA	W	2025	1975
2026	0021900044	TOR vs. ORL	W	2025	2000
2022	0021900049	UTA @ PHX	W	2025	2025
2015	0021900053	DAL @ DEN	W	2025	2075
2014	0021900054	MEM @ LAL	L	1975	2025
2011	0021900052	MIA vs. ATL	W	2025	2025
2009	0021900059	IND @ BKN	W	1925	1975
2008	0021900065	GSW vs. PHX	L	1975	2000
2007	0021900058	BOS vs. MIL	W	2025	2025
2005	0021900063	LAC @ UTA	L	2050	2050
2004	0021900055	CLE vs. CHI	W	1975	1950
2003	0021900062	POR @ OKC	W	2000	1950
2002	0021900060	TOR vs. DET	W	2050	2000
2001	0021900057	PHI vs. MIN	W	2075	2075
1998	0021900056	ORL vs. NYK	W	1975	1950
1994	0021900061	HOU @ WAS	W	2025	1975
1993	0021900064	CHA @ SAC	W	1950	1900
1987	0021900066	MIA @ ATL	W	2050	2000
1986	0021900067	NOP vs. DEN	W	1900	2050
1984	0021900068	LAC vs. SAS	W	2025	2075
1981	0021900069	HOU @ BKN	L	2050	1950
1979	0021900071	MIL @ ORL	W	2000	2000
1978	0021900074	DAL vs. LAL	L	2050	2050
1977	0021900073	CHI vs. DET	W	1925	1975
1975	0021900070	IND vs. CLE	W	1950	2000
1974	0021900075	SAC vs. UTA	W	1875	2075
1973	0021900072	NYK @ BOS	L	1925	2050
1971	0021900076	SAS @ GSW	W	2050	1950
1965	0021900080	WAS vs. MIN	L	1950	2050
1963	0021900083	CHA @ GSW	W	1975	1925
1962	0021900077	OKC vs. NOP	W	1925	1925
1961	0021900081	PHX @ MEM	W	2025	1950
1959	0021900082	MIL vs. TOR	W	2025	2075
1958	0021900084	POR vs. PHI	L	2025	2100
1955	0021900079	ORL vs. DEN	L	1975	2025
1954	0021900078	BKN @ DET	L	1975	1950
1949	0021900086	HOU @ MIA	L	2025	2075
1948	0021900087	SAC @ NYK	W	1900	1900
1947	0021900089	DAL @ CLE	W	2025	1975
1946	0021900085	IND vs. CHI	W	1975	1950
1943	0021900090	UTA @ LAC	L	2050	2050
1941	0021900088	LAL @ SAS	W	2075	2075
1937	0021900093	MEM vs. HOU	L	1925	2000
1936	0021900096	POR @ GSW	L	2000	1900
1935	0021900091	DET @ WAS	L	1975	1925
1932	0021900094	MIL @ MIN	W	2050	2075
1931	0021900092	BKN vs. NOP	W	1950	1900
1929	0021900095	PHI @ PHX	L	2125	2050
1925	0021900102	MIA @ DEN	L	2100	2050
1924	0021900098	BOS @ CLE	W	2075	1950
1922	0021900097	CHA vs. IND	W	2000	2000
1921	0021900099	ATL vs. SAS	W	1975	2050
1919	0021900100	LAL @ CHI	W	2100	1925
1916	0021900101	ORL @ OKC	L	1950	1950
1913	0021900103	DET vs. NYK	W	1950	1875
1912	0021900107	GSW @ HOU	L	1925	2025
1911	0021900108	MEM vs. MIN	W	1900	2050
1910	0021900110	UTA vs. PHI	W	2025	2100
1909	0021900111	LAC vs. MIL	L	2075	2075
1908	0021900109	ORL @ DAL	L	1925	2050
1907	0021900106	TOR vs. SAC	W	2050	1925
1905	0021900105	CHI @ ATL	W	1900	2000
1904	0021900104	IND vs. WAS	W	1975	1950
1895	0021900112	CHA vs. BOS	L	2025	2100
1894	0021900115	LAC vs. POR	W	2050	1975
1893	0021900113	SAS vs. OKC	W	2025	1975
1892	0021900114	PHX vs. MIA	L	2075	2075
1887	0021900121	NOP vs. TOR	L	1875	2075
1886	0021900118	WAS vs. CLE	L	1925	1925
1885	0021900122	DAL vs. NYK	L	2075	1850
1884	0021900117	MEM @ ORL	L	1925	1900
1883	0021900124	UTA vs. MIL	W	2050	2100
1881	0021900120	MIN vs. GSW	W	2025	1900
1880	0021900116	DET @ IND	L	1975	2000
1878	0021900119	SAC @ ATL	W	1900	1975
1877	0021900126	MIA @ LAL	L	2100	2125
1872	0021900123	PHI @ DEN	L	2075	2075
1870	0021900125	POR vs. BKN	L	1950	1975
1865	0021900129	HOU @ CHI	W	2050	1925
1864	0021900128	CHA vs. NOP	L	2000	1850
1863	0021900130	MEM vs. DAL	L	1900	2050
1860	0021900127	SAS vs. BOS	L	2050	2125
1858	0021900131	GSW @ OKC	L	1875	1950
1855	0021900137	PHX vs. BKN	W	2050	2000
1854	0021900132	MIN vs. DEN	L	2050	2100
1853	0021900138	ATL @ POR	L	1950	1925
1852	0021900136	NYK vs. CLE	L	1875	1950
1851	0021900139	LAL vs. TOR	L	2150	2100
1850	0021900135	MIL @ OKC	W	2075	1975
1847	0021900134	CHA @ PHI	L	1975	2050
1846	0021900133	ORL vs. IND	L	1925	2025
1839	0021900140	DET vs. MIN	L	1950	2025
1838	0021900144	UTA @ GSW	W	2075	1850
1837	0021900145	TOR @ LAC	L	2125	2075
1836	0021900141	BOS vs. DAL	W	2150	2075
1833	0021900142	NOP vs. HOU	L	1875	2075
1832	0021900143	SAS vs. MEM	L	2025	1875
1827	0021900149	CHI vs. NYK	W	1900	1850
1826	0021900147	CLE @ PHI	L	1975	2075
1825	0021900146	IND vs. OKC	W	2050	1950
1824	0021900151	PHX vs. LAL	L	2075	2125
1822	0021900148	DET @ MIA	L	1925	2075
1821	0021900152	UTA vs. BKN	W	2100	1975
1820	0021900150	ATL @ DEN	W	1925	2125
1818	0021900153	POR @ SAC	L	1950	1925
1811	0021900157	HOU vs. LAC	W	2100	2100
1810	0021900160	TOR @ POR	W	2100	1925
1809	0021900158	MIN vs. SAS	W	2050	2000
1808	0021900154	CHA vs. MEM	L	1950	1900
1807	0021900156	BOS vs. WAS	W	2175	1900
1806	0021900159	LAL vs. GSW	W	2150	1825
1804	0021900155	PHI @ ORL	L	2100	1900
1797	0021900166	DEN vs. BKN	W	2100	1950
1796	0021900162	NYK vs. DAL	W	1825	2050
1794	0021900164	LAC @ NOP	L	2075	1850
1793	0021900163	CHI @ MIL	L	1925	2100
1792	0021900165	PHX vs. ATL	W	2050	1950
1789	0021900161	MIA @ CLE	W	2100	1950
1785	0021900169	HOU vs. IND	W	2125	2075
1783	0021900167	CHA vs. DET	W	1925	1900
